Symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
BRK-B
TSLA
UNH
JNJ
V
XOM
WMT
LLY
PG
MA
AVGO
JPM
HD
MRK
ABBV
PEP
COST
ADBE
KO
TMO
PFE
CSCO
MCD
NFLX
CRM
INTC
ABT
ACN
CMCSA
WFC
TXN
NKE
AMD
LIN
UPS
CVX
NEE
AMGN
ORCL
QCOM
PM
UNP
MS
LOW
SBUX
IBM
ISRG
INTU
CAT
VRTX
BKNG
GE
DE
MDT
BA
MDLZ
ADI
TGT
CI
MU
LRCX
GILD
NOW
ELV
AXP
REGN
ZTS
PLD
ADP
MO
SCHW
USB
APD
DUK
SO
GM
BIIB
MMC
CB
CL
ICE
SHW
PGR
HUM
FDX
MMC
RELIANCE.NS
TCS.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
LT.NS
ITC.NS
SBIN.NS
BHARTIARTL.NS
AXISBANK.NS
BAJFINANCE.NS
KOTAKBANK.NS
HCLTECH.NS
HINDUNILVR.NS
ASIANPAINT.NS
DMART.NS
MARUTI.NS
TITAN.NS
ULTRACEMCO.NS
SUNPHARMA.NS
TECHM.NS
ADANIENT.NS
WIPRO.NS
NTPC.NS
POWERGRID.NS
BAJAJFINSV.NS
ONGC.NS
COALINDIA.NS
M&M.NS
TATASTEEL.NS
JSWSTEEL.NS
BPCL.NS
IOC.NS
INDUSINDBK.NS
DIVISLAB.NS
HINDALCO.NS
BRITANNIA.NS
PIDILITIND.NS
EICHERMOT.NS
DRREDDY.NS
GRASIM.NS
CIPLA.NS
AMBUJACEM.NS
SHREECEM.NS
SBILIFE.NS
ICICIPRULI.NS
HDFCLIFE.NS
ADANIGREEN.NS
ADANITRANS.NS
DLF.NS
GAIL.NS
VEDL.NS
APOLLOHOSP.NS
AUROPHARMA.NS
BERGEPAINT.NS
GODREJCP.NS
MUTHOOTFIN.NS
NAUKRI.NS
UBL.NS
BEL.NS
CANBK.NS
PNB.NS
BHEL.NS
BANKBARODA.NS
TVSMOTOR.NS
VOLTAS.NS
TRENT.NS
LTI.NS
LTTS.NS
MFSL.NS
GLAND.NS
TORNTPHARM.NS
MAXHEALTH.NS
INDIGO.NS
CUMMINSIND.NS
SRF.NS
COLPAL.NS
HAVELLS.NS
PETRONET.NS
CHOLAFIN.NS
ALKEM.NS
ABBOTINDIA.NS
POLYCAB.NS
AIAENG.NS
TATACOMM.NS
MPHASIS.NS
PAGEIND.NS
INDIAMART.NS
S
CAMS.NS
ETERNAL.NS
IDFCFIRSTB.NS
PVRINOX.NS
SBICARD.NS
UJJIVANSFB.NS
INDIGOPNTS.NS
MARICO.NS
JIOFIN.NS
WMT
NFLX
TSM
CRM
CRWD
SRAY
ISRG
OI
SYKPATH
UPST
AVAV
DUOL
